SCHOOL_CODE,YEAR,MONTH,SCHOOL_NAME,MONTH_START,STAGE_SCHOOL_YEAR,STAGE_DISTRICT_CODE,ENROLLMENT,BREAKFAST_AVERAGE_PER_DAY,LUNCH_AVERAGE_PER_DAY,TOTAL_AVERAGE_MEALS_PER_DAY,BREAKFAST_PARTICIPATION,LUNCH_PARTICIPATION,TOTAL_PARTICIPATION,attendance_records,absences,full_absences,half_absences,excused_absences,mental_health_days,unique_students,num_students_seen,pct_female,pct_male,pct_non_binary,gender_error_count,absence_rate,pct_full_absence,pct_half_absence,pct_present,weighted_absence_rate,pct_excused,pct_unexcused,pct_mental_health_day,distinct_neighborhoods,distinct_zip_codes,avg_days_in_school,total_students,pct_free_reduced_lunch,pct_free_lunch,pct_reduced_lunch,pct_direct_cert,pct_paid_lunch,foodservice_null_count,incoming_student_count,NETWORK
609873,2026,1,CROWN,2026-01-01T00:00:00.000Z,2025-2026,299,100,41,86,128,0.4194,0.8688235294117647,0.6441176470588235,1760,238,238,0,264,0,105,105,0.479,0.521,0.0,0,0.1352,0.1352,0.0,0.8648,0.1352,0.15,0.1239,0.0,7,5,,106,0.0189,0.0189,0.0,0.0,0.0,104,0,Network 5
609891,2026,1,DOOLITTLE,2026-01-01T00:00:00.000Z,2025-2026,299,240,110,194,305,0.4620,0.8112745098039216,0.6366421568627452,4108,467,467,0,236,0,247,247,0.4903,0.5097,0.0,0,0.1137,0.1137,0.0,0.8863,0.1137,0.0574,0.0937,0.0,12,8,,250,0.012,0.012,0.0,0.0,0.0,247,0,Network 9
609896,2025,10,DRUMMOND,2025-10-01T00:00:00.000Z,2025-2026,299,347,35,115,150,0.1011,0.3327844105942089,0.2169617126389461,7251,388,369,19,418,5,347,347,0.5271,0.4671,0.0058,0,0.0535,0.0509,0.0026,0.9465,0.0522,0.0576,0.0236,7.0E-4,36,34,,340,0.0029,0.0029,0.0,0.0029,0.0,339,0,Network 6
609922,2025,12,BELMONT-CRAGIN,2025-12-01T00:00:00.000Z,2025-2026,299,550,244,315,560,0.4439,0.5743030303030303,0.5090909090909090,8190,954,954,0,868,0,546,546,0.489,0.5092,0.0018,0,0.1165,0.1165,0.0,0.8835,0.1165,0.106,0.0752,0.0,16,18,,536,0.0784,0.0504,0.028,0.0261,0.0,494,0,Network 3
609925,2025,10,KELLMAN,2025-10-01T00:00:00.000Z,2025-2026,299,214,160,188,349,0.7521,0.8818424566088118,0.8169781931464175,4359,405,405,0,547,0,210,210,0.5134,0.4866,0.0,0,0.0929,0.0929,0.0,0.9071,0.0929,0.1255,0.0305,0.0,19,20,,193,0.0311,0.0207,0.0104,0.0052,0.0052,186,0,Network 5
609925,2026,1,KELLMAN,2026-01-01T00:00:00.000Z,2025-2026,299,214,159,176,336,0.7468,0.8235294117647060,0.7851841671247939,3380,412,412,0,350,0,201,201,0.5192,0.4808,0.0,0,0.1219,0.1219,0.0,0.8781,0.1219,0.1036,0.074,0.0,18,19,,193,0.0311,0.0207,0.0104,0.0052,0.0052,186,0,Network 5
609958,2025,8,GUNSAULUS,2025-08-01T00:00:00.000Z,2025-2026,299,669,290,484,775,0.4348,0.7248131539611360,0.5798206278026905,6617,225,209,16,492,0,672,672,0.4776,0.5224,0.0,0,0.034,0.0316,0.0024,0.966,0.0328,0.0744,0.0186,0.0,20,14,,661,0.0424,0.0378,0.0045,0.0166,0.0,633,0,Network 8
609995,2025,9,HITCH,2025-09-01T00:00:00.000Z,2025-2026,299,462,145,192,338,0.3154,0.4168831168831169,0.3661255411255411,9267,401,401,0,594,3,467,467,0.4878,0.5101,0.0022,0,0.0433,0.0433,0.0,0.9567,0.0433,0.0641,0.0128,3.0E-4,8,7,,463,0.0994,0.0821,0.0173,0.0648,0.0108,412,0,Network 1
609996,2025,12,HOLDEN,2025-12-01T00:00:00.000Z,2025-2026,299,394,186,289,475,0.4733,0.7343485617597294,0.6038071065989848,6000,715,585,130,863,6,402,402,0.4525,0.5475,0.0,0,0.1192,0.0975,0.0217,0.8808,0.1083,0.1438,0.0537,0.001,26,20,,397,0.005,0.0025,0.0025,0.0,0.0,395,0,ISP
610013,2025,8,PILSEN,2025-08-01T00:00:00.000Z,2025-2026,299,214,108,172,281,0.5051,0.8079439252336449,0.6565420560747663,2114,127,100,27,189,0,215,215,0.5147,0.4853,0.0,0,0.0601,0.0473,0.0128,0.9399,0.0537,0.0894,0.0312,0.0,18,17,,213,0.0892,0.0657,0.0235,0.0141,0.0,194,0,Network 7
